IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
581940112,Le Mouesse,58194,Nevers,45.6,23.8,13330.0,19380.0,25230.0,0.61,6890.0,11730.0,14940.0,16870.0,21820.0,23820.0,27630.0,33860.0,4.9,5.9,0.299,52.4,47.6,2.8,2.0,45.0,2.6,0
581940113,Montapins Est,58194,Nevers,60.5,16.7,16320.0,24370.0,33720.0,0.71,8590.0,14540.0,17910.0,21200.0,27500.0,31570.0,36390.0,45020.0,5.2,6.8,0.341,54.8,49.0,1.6,4.2,40.1,5.1,0
581940114,Les Loges-Montapins Ouest,58194,Nevers,55.7,19.7,15350.0,22100.0,29600.0,0.64,7410.0,13190.0,16580.0,19400.0,24640.0,27730.0,32170.0,40150.0,5.4,6.8,0.329,63.5,58.6,1.7,3.2,33.6,2.9,0
581940115,La Grande Pature,58194,Nevers,,73.2,2970.0,6900.0,13800.0,1.57,0.0,1590.0,4110.0,5550.0,9530.0,11980.0,17150.0,21370.0,,78.1,0.503,58.7,,,,38.7,2.6,0
581940116,Les Montots-Bas Montots,58194,Nevers,33.2,47.0,5950.0,13960.0,21990.0,1.15,0.0,3640.0,7660.0,10720.0,17250.0,20460.0,24240.0,29910.0,,38.9,0.439,55.0,49.5,3.6,1.9,43.2,1.8,0
581940117,Rotonde-13 Eme de Ligne,58194,Nevers,46.6,28.0,11720.0,18920.0,26520.0,0.78,6280.0,9700.0,13420.0,16580.0,21660.0,25000.0,29140.0,38890.0,6.2,8.5,0.362,64.1,55.7,2.9,5.5,33.8,2.1,0
590080101,Nord,59008,Aniche,34.5,36.5,10070.0,16480.0,23160.0,0.79,3960.0,8600.0,11230.0,14140.0,18990.0,21500.0,24930.0,29240.0,7.4,8.5,0.338,74.6,68.8,3.7,2.1,23.3,2.1,0
590080102,Village Centre,59008,Aniche,30.6,48.0,6350.0,13580.0,21260.0,1.1,380.0,4620.0,7990.0,10670.0,16520.0,19440.0,22280.0,28080.0,74.9,23.7,0.42,70.1,61.8,4.9,3.4,27.0,2.9,0
590080103,Centre 2,59008,Aniche,31.1,37.8,9700.0,15620.0,21910.0,0.78,3620.0,8220.0,11080.0,13500.0,17960.0,20610.0,23580.0,29320.0,8.1,8.4,0.337,63.3,58.2,4.2,0.9,34.5,2.2,0
590080104,Sud,59008,Aniche,28.7,43.2,7800.0,15120.0,21080.0,0.88,1700.0,6000.0,9350.0,11970.0,17050.0,19520.0,22720.0,26660.0,15.7,14.1,0.378,70.1,61.8,4.8,3.5,27.9,2.0,0
590090101,Breucq,59009,Villeneuve-d'Ascq,61.5,12.6,18290.0,27270.0,38120.0,0.73,11630.0,16220.0,19940.0,22880.0,30930.0,35010.0,41100.0,51770.0,4.4,5.5,0.315,77.9,68.6,2.7,6.6,17.7,4.4,0
590090102,Sart,59009,Villeneuve-d'Ascq,68.4,,20080.0,27660.0,36630.0,0.6,14380.0,17930.0,21260.0,24280.0,30570.0,33970.0,39830.0,51190.0,3.6,4.6,0.302,76.1,69.4,2.1,4.6,19.2,4.7,0
590090103,Babylone,59009,Villeneuve-d'Ascq,37.7,37.6,9260.0,16630.0,24250.0,0.9,3840.0,7910.0,10760.0,13850.0,19540.0,22230.0,26670.0,34560.0,9.0,11.1,0.396,82.8,76.3,4.7,1.8,14.1,3.1,0
590090104,Recueil,59009,Villeneuve-d'Ascq,70.6,9.3,21500.0,31690.0,45060.0,0.74,14020.0,19260.0,23420.0,27580.0,36250.0,41790.0,49360.0,64980.0,4.6,6.7,0.365,71.4,63.3,2.0,6.1,18.7,9.9,0
590090201,Pres,59009,Villeneuve-d'Ascq,61.9,21.1,15380.0,24150.0,33800.0,0.76,6410.0,12670.0,18280.0,21310.0,27230.0,31980.0,36420.0,42310.0,6.6,8.0,0.337,77.6,72.1,2.6,2.9,20.4,2.0,0
590090203,Croisure,59009,Villeneuve-d'Ascq,65.7,13.6,17930.0,25930.0,34880.0,0.65,10920.0,15990.0,19480.0,23110.0,28860.0,32370.0,37710.0,48480.0,4.4,5.5,0.306,71.0,64.8,2.0,4.2,24.8,4.2,0
590090204,Les Facultés,59009,Villeneuve-d'Ascq,47.7,29.9,11630.0,18850.0,25650.0,0.74,6050.0,9200.0,13060.0,15720.0,21160.0,23780.0,28810.0,34520.0,5.7,7.7,0.344,74.6,70.0,3.7,0.9,23.4,2.0,0
590090206,Château,59009,Villeneuve-d'Ascq,63.3,15.1,17020.0,24830.0,35230.0,0.73,10030.0,15240.0,18650.0,21900.0,28640.0,33070.0,38410.0,46760.0,4.7,6.3,0.335,69.1,61.0,2.4,5.7,27.5,3.4,0
590090207,Bourg,59009,Villeneuve-d'Ascq,57.9,,17840.0,24640.0,34380.0,0.67,12040.0,16010.0,19510.0,22210.0,28060.0,32330.0,36560.0,44910.0,3.7,5.0,0.304,69.1,62.7,1.9,4.5,27.0,3.9,0
590090301,Cousinerie Est,59009,Villeneuve-d'Ascq,59.5,18.0,15840.0,23850.0,33950.0,0.76,8190.0,13820.0,17410.0,20610.0,27170.0,31110.0,36300.0,45120.0,5.5,6.6,0.325,69.0,63.0,2.6,3.4,28.0,3.0,0
590090303,Cousinerie Ouest,59009,Villeneuve-d'Ascq,51.2,23.8,13290.0,21520.0,30070.0,0.78,6770.0,11110.0,14880.0,18530.0,24390.0,27550.0,32950.0,40390.0,6.0,7.5,0.336,69.3,64.2,3.0,2.1,28.1,2.6,0
590090304,Cousinerie Centre,59009,Villeneuve-d'Ascq,56.2,22.4,14200.0,22700.0,32840.0,0.82,6810.0,12200.0,15860.0,18950.0,25850.0,29760.0,35380.0,43570.0,6.4,8.0,0.347,75.8,69.6,2.5,3.7,21.2,3.0,0
